SDG 2 — Zero Hunger 

BSIT 0174 | Our Lady Mercy academy online enrollment system with SMS inquiry and notification 
BSIT 0175 | Computerized enrolment system of Batangas National High School 
BSIT 0180 | Virtual tour kiosk of Batangas State University Main Campus II 
BSIT 0193 | Library management system of Provincial Capitol of Batangas 
BSIT 0203 | Batangas State University student services application 
BSIT 0205 | Mobile-based locator for Batangas State University Main Campus II 
BSIT 0211 | Parents-student services system with SMS notification for Carmel School of Batangas 
BSIT 0212 | University internet access security system for Alangilan 
BSIT 0216 | Webtutee: An E-learning android application for HTML, HTML 5, CSS and Java Script 
BSIT 0221 | Auto scheduler of Batangas State University 
BSIT 0231 | OpenBiblio library management system for the Colegio ng Lungsod ng Batangas 
BSIT 0245 | A test interface with item analysis for a web-based course management system 
BSIT 0246 | Banaba West National High School library management information system with QR code reader 
BSIT 0252 | Dr. Juan A. Pastor Memorial National High School website and online services
BSIT 0261 | E-learning database management system 
BSIT 0265 | Puerto Galera National High school online services 
BSIT 0277 | Anselmo A. Sandoval Memorial National High School Web Portal 
BSIT 0286 | Integrated library management system of Colegio ng Lungsod ng Batangas 
BSIT 0289 | Transaction portal for College of Informatics and Computing Sciences 
BSIT 0292 | Flip word: An android-based educational game 
BSIT 0297 | Online student information system for integrated school of Batangas State University 
BSIT 0336 | Online career assessment examination for K-12 Program DepEd 
BSIT 0337 | Online facility research paper submission and review Batangas State University 
BSIT 0342 | EBD scholars online performance evaluation and graduate teachers system 
BSIT 0347 | Sipa:Student, instructor and parent services mobile application for Batangas State University 
BSIT 0354 | Information management system for Batangas National High School record section
BSIT 0362 | Batangas State University virtual tour 
BSIT 0373 | Batangas State University RGO online services 
BSIT 0374 | E-portfolio management system for College of Informatics and Computing Sciences 
BSIT 0379 | Property and supply management system of Batangas State University 
BSIT 0381 | Centralized sports and cultural event management system for Oblates of Saint Joseph School 
BSIT 0389 | Calabarzon Integrated Research and Training Center laboratory inventory management system 
BSIT 0400 | St. Joseph College web-based guidance services system 
BSIT 0401 | Online election student council system for Batangas State University 
BSIT 0406 | Virtual classroom for BatstateU for Technopreneurship class 
BSIT 0410 | Disbursement voucher to subsidiary ledger accounting system for Batangas State University
BSIT 0411 | Payroll management system for Batangas State University 
BSIT 0419 | Management information system of Air Force Officer School 
BSIT 0422 | Web-based scholarship management system with SMS notification for the office of the representative 2nd District of Batangas 
BSIT 0426 | DepEd-Batangas City portal for online submission of school reports 
BSIT 0431 | Competency assessment reporting system for training needs analysis of faculty and employee of Batangas State University 
BSIT 0436 | Students Online Services of St. Jude Elementary School of learning incorporation 
BSIT 0450 | Complaints management and faculty evaluation system for Saint James Academy 
BSIT 0460 | Online student information system for the testing and admission/guidance and counseling office in Colegio ng Lungsod ng Batangas (CLB) 
BSIT 0466 | Web-based training management information system for ATI-ITCPH 
BSIT 0472 | Colegio ng Lungsod ng Batangas online alumni tracking system
BSIT 0502 | Alphabet Puzzle: An android educational game 
BSIT 0503 | Batangas State University point of sales for Resource Generation Office 
BSIT 0508 | Vehicle and facility request system for general services office of Batangas State University 
BSIT 0515 | Online customer satisfaction survey system for Batangas State University 
BSIT 0516 | Fernando Air Base Integrated National High School information kiosk 
BSIT 0521 | Centralized report submission system for institutional planning and development office of Batangas State University 
BSIT 0526 | Online grade submission and retrieval with SMS request and notification for Saint James Academy 
BSIT 0529 | Android-based digital bulletin board for the College of Informatics and Computing Sciences 
BSIT 0530 | Integrated library management system using radio frequency identification (RFID) technology For Dacanlao G. Agoncillo National High School 
BSIT 0534 | Graduate tracer system of Batangas City government scholarship program 
BSIT 0537 | Student services management information system 
BSIT 0538 | Student organizations and activities (SOA) web portal for Batangas State University 
BSIT 0542 | Computerized entrance examination with item analysis for Sto. Niño Formation and Science School 
BSIT 0546 | Tabangao Integrated school web portal 
BSIT 0553 | RFID based access control monitoring system with SMS notification for Fernando Air Base Integrated National High School. 
BSIT 0573 | Centralized document repository system for College of Informatics and Computing Sciences 
BSIT 0578 | A student behavioural assessment system of Bauan Technical High School 
